sample_index,sample_id,baseline_dice,az_dice,delta_dice,baseline_iou,az_iou,delta_iou,baseline_precision,az_precision,delta_precision,baseline_recall,az_recall,delta_recall
0,spacenet3_paris_img0011,0.27866473149492016,0.24931339639914557,-0.02935133509577459,0.16188870151770657,0.14240892452501308,-0.019479776992693487,0.2544731610337972,0.15394761635575654,-0.10052554467804065,0.3079390537289495,0.6551724137931034,0.34723336006415395
1,spacenet3_paris_img0015,0.23597122302158274,0.3546736940009301,0.11870247097934733,0.13376835236541598,0.21556434897305446,0.08179599660763848,0.5264847512038523,0.26641825803446667,-0.2600664931693856,0.1520630505331479,0.5303662494204914,0.3783031988873435
2,spacenet3_paris_img0019,0.6303753417847378,0.42332613390928725,-0.2070492078754505,0.46025408348457353,0.2684931506849315,-0.19176093279964201,0.6502564102564102,0.31118167384894535,-0.3390747364074649,0.6116739025566812,0.6618427399903521,0.050168837433670954
3,spacenet3_paris_img0027,0.0,0.42105263157894735,0.42105263157894735,0.0,0.26666666666666666,0.26666666666666666,0.0,0.2752482026703184,0.2752482026703184,0.0,0.8953229398663697,0.8953229398663697
4,spacenet3_paris_img0037,0.4767025089605735,0.4955545156761816,0.018852006715608105,0.3129411764705882,0.329393468118196,0.016452291647607753,0.6723963599595552,0.6734499205087441,0.0010535605491889255,0.36923931149361466,0.3920044419766796,0.022765130483064944
5,spacenet3_paris_img0048,0.2958752841831764,0.43398540899993543,0.13811012481675905,0.17362302267962645,0.277127308707124,0.10350428602749753,0.35613760750586393,0.4054771383761612,0.049339530870297243,0.25305555555555553,0.46680555555555553,0.21375
6,spacenet3_paris_img0076,0.6626104023552503,0.5297260037911425,-0.13288439856410772,0.4954505429997065,0.3602906704172527,-0.13515987258245377,0.596045197740113,0.434180790960452,-0.16186440677966102,0.7459125055236412,0.6791869200176757,-0.06672558550596552
7,spacenet3_paris_img0087,0.675701839303001,0.6972947761194029,0.021592936816401953,0.5102339181286549,0.5352667382742571,0.025032820145602153,0.6635951440690361,0.7150829081632653,0.05148776409422917,0.6882584951456311,0.680370145631068,-0.007888349514563076
8,spacenet3_paris_img0111,0.00936768149882904,0.0,-0.00936768149882904,0.004705882352941176,0.0,-0.004705882352941176,0.023668639053254437,0.0,-0.023668639053254437,0.00583941605839416,0.0,-0.00583941605839416
9,spacenet3_paris_img0114,0.6411194833153929,0.7014840989399294,0.06036461562453643,0.4717997465145754,0.5402198759116142,0.06842012939703884,0.6158830828622639,0.6645688269951794,0.04868574413291549,0.6685124214307093,0.7427416941035618,0.07422927267285251
