model,policy,split,threshold,tp,fp,fn,tn,recall,fpr,precision,accuracy,max_patient_fpr,min_patient_recall
nearest_endpoint,pooled_fpr_05,val,-3.839772012290029,21,6,113,128,0.15671641791044777,0.04477611940298507,0.7777777777777778,0.5559701492537313,0.07407407407407407,0.05
nearest_endpoint,pooled_fpr_05,test,-3.839772012290029,27,7,140,160,0.16167664670658682,0.041916167664670656,0.7941176470588235,0.5598802395209581,0.08695652173913043,0.08823529411764706
nearest_endpoint,pooled05_maxpatient05,val,-3.566099795849006,5,3,129,131,0.03731343283582089,0.022388059701492536,0.625,0.5074626865671642,0.037037037037037035,0.0
nearest_endpoint,pooled05_maxpatient05,test,-3.566099795849006,2,3,165,164,0.011976047904191617,0.017964071856287425,0.4,0.49700598802395207,0.043478260869565216,0.0
nearest_endpoint,pooled05_maxpatient10,val,-3.839772012290029,21,6,113,128,0.15671641791044777,0.04477611940298507,0.7777777777777778,0.5559701492537313,0.07407407407407407,0.05
nearest_endpoint,pooled05_maxpatient10,test,-3.839772012290029,27,7,140,160,0.16167664670658682,0.041916167664670656,0.7941176470588235,0.5598802395209581,0.08695652173913043,0.08823529411764706
nearest_endpoint,zero_fp_val,val,inf,0,0,134,134,0.0,0.0,0.0,0.5,0.0,0.0
nearest_endpoint,zero_fp_val,test,inf,0,0,167,167,0.0,0.0,0.0,0.5,0.0,0.0
ogmc_style_touch,pooled_fpr_05,val,0.3566732592474823,57,6,77,128,0.4253731343283582,0.04477611940298507,0.9047619047619048,0.6902985074626866,0.1,0.25
ogmc_style_touch,pooled_fpr_05,test,0.3566732592474823,66,6,101,161,0.39520958083832336,0.03592814371257485,0.9166666666666666,0.6796407185628742,0.08695652173913043,0.25806451612903225
ogmc_style_touch,pooled05_maxpatient05,val,0.3730240816706162,51,3,83,131,0.3805970149253731,0.022388059701492536,0.9444444444444444,0.6791044776119403,0.05,0.2
ogmc_style_touch,pooled05_maxpatient05,test,0.3730240816706162,52,5,115,162,0.31137724550898205,0.029940119760479042,0.9122807017543859,0.6407185628742516,0.05128205128205128,0.16129032258064516
ogmc_style_touch,pooled05_maxpatient10,val,0.3566732592474823,57,6,77,128,0.4253731343283582,0.04477611940298507,0.9047619047619048,0.6902985074626866,0.1,0.25
ogmc_style_touch,pooled05_maxpatient10,test,0.3566732592474823,66,6,101,161,0.39520958083832336,0.03592814371257485,0.9166666666666666,0.6796407185628742,0.08695652173913043,0.25806451612903225
ogmc_style_touch,zero_fp_val,0.4269308195653717,5,0,129,134,0.03731343283582089,0.0,1.0,0.5186567164179104,0.0,0.0
ogmc_style_touch,zero_fp_val,test,0.4269308195653717,4,0,163,167,0.023952095808383235,0.0,1.0,0.5119760479041916,0.0,0.0
geometry_hgb,pooled_fpr_05,val,0.9388294139155036,43,6,91,128,0.3208955223880597,0.04477611940298507,0.8775510204081632,0.6380597014925373,0.07407407407407407,0.25
geometry_hgb,pooled_fpr_05,test,0.9388294139155036,63,2,104,165,0.3772455089820359,0.011976047904191617,0.9692307692307692,0.6826347305389222,0.043478260869565216,0.125
geometry_hgb,pooled05_maxpatient05,val,0.9434246943917584,41,5,93,129,0.30597014925373134,0.03731343283582089,0.8913043478260869,0.6343283582089553,0.05,0.2
geometry_hgb,pooled05_maxpatient05,test,0.9434246943917584,55,1,112,166,0.32934131736526945,0.005988023952095809,0.9821428571428571,0.6616766467065869,0.029411764705882353,0.125
geometry_hgb,pooled05_maxpatient10,val,0.9388294139155036,43,6,91,128,0.3208955223880597,0.04477611940298507,0.8775510204081632,0.6380597014925373,0.07407407407407407,0.25
geometry_hgb,pooled05_maxpatient10,test,0.9388294139155036,63,2,104,165,0.3772455089820359,0.011976047904191617,0.9692307692307692,0.6826347305389222,0.043478260869565216,0.125
geometry_hgb,zero_fp_val,val,0.9701667843463648,16,0,118,134,0.11940298507462686,0.0,1.0,0.5597014925373134,0.0,0.0
geometry_hgb,zero_fp_val,test,0.9701667843463648,26,0,141,167,0.15568862275449102,0.0,1.0,0.5778443113772455,0.0,0.0625
