n,exact,false_scene,incomplete,false_count,exact_count,method,split
28,0.42857142857142855,0.10714285714285714,0.4642857142857143,3,12,canonical,val
30,0.5333333333333333,0.1,0.36666666666666664,3,16,canonical,test
28,0.5,0.14285714285714285,0.35714285714285715,4,14,ct_add_only,val
30,0.5666666666666667,0.23333333333333334,0.2,7,17,ct_add_only,test
