model,split,n,positives,negatives,auroc,auprc,threshold,recall,fpr,precision,accuracy,n_scenes,top1,top3,mrr
geometry,val,80,32,48,0.9674479166666666,0.9631181232265846,0.7443289278131102,0.90625,0.020833333333333332,0.9666666666666667,0.95,32,0.90625,1.0,0.953125
geometry,test,38,16,22,1.0,1.0,0.7443289278131102,1.0,0.045454545454545456,0.9411764705882353,0.9736842105263158,16,1.0,1.0,1.0
ct_only,val,80,32,48,0.9231770833333333,0.8359493731983964,0.9816055556691269,0.34375,0.041666666666666664,0.8461538461538461,0.7125,32,0.9375,1.0,0.96875
ct_only,test,38,16,22,0.8892045454545454,0.8244783725046884,0.9816055556691269,0.0,0.0,0.0,0.5789473684210527,16,0.875,1.0,0.9375
geometry_plus_ct,val,80,32,48,0.9752604166666666,0.9704525140810819,0.9295915248201165,0.90625,0.020833333333333332,0.9666666666666667,0.95,32,0.9375,1.0,0.96875
geometry_plus_ct,test,38,16,22,0.9857954545454546,0.9851190476190477,0.9295915248201165,0.4375,0.0,1.0,0.7631578947368421,16,1.0,1.0,1.0
