metric,threshold,coverage,n_accept,false_rate_accept,exact_rate_accept,branch_recall_accept,simple_gap_recall_accept
stability,0.5,0.9192825112107623,410,0.01951219512195122,0.9365853658536586,0.9859756097560975,0.948780487804878
stability,0.6,0.8565022421524664,382,0.010471204188481676,0.9476439790575916,0.9897469458987784,0.9607329842931938
stability,0.7,0.7825112107623319,349,0.008595988538681949,0.9656160458452722,0.9935530085959885,0.9684813753581661
stability,0.8,0.7309417040358744,326,0.006134969325153374,0.9693251533742331,0.9951431492842535,0.9723926380368099
stability,0.85,0.6569506726457399,293,0.006825938566552901,0.9795221843003413,0.9954493742889646,0.9795221843003413
stability,0.9,0.5605381165919282,250,0.004,0.984,0.9973333333333333,0.984
stability,0.95,0.3991031390134529,178,0.0,0.9943820224719101,1.0,0.9943820224719101
stability,1.0,0.3991031390134529,178,0.0,0.9943820224719101,1.0,0.9943820224719101
baseline_agreement,0.5,0.9013452914798207,402,0.014925373134328358,0.9427860696517413,0.9888059701492538,0.9527363184079602
baseline_agreement,0.6,0.8475336322869955,378,0.007936507936507936,0.9523809523809523,0.9920634920634921,0.9629629629629629
baseline_agreement,0.7,0.7802690582959642,348,0.005747126436781609,0.9683908045977011,0.9954501915708811,0.9712643678160919
baseline_agreement,0.8,0.7286995515695067,325,0.003076923076923077,0.9723076923076923,0.9971794871794871,0.9753846153846154
baseline_agreement,0.85,0.6547085201793722,292,0.003424657534246575,0.9828767123287672,0.9977168949771689,0.9828767123287672
baseline_agreement,0.9,0.5582959641255605,249,0.0,0.9879518072289156,1.0,0.9879518072289156
baseline_agreement,0.95,0.3991031390134529,178,0.0,0.9943820224719101,1.0,0.9943820224719101
baseline_agreement,1.0,0.3991031390134529,178,0.0,0.9943820224719101,1.0,0.9943820224719101
combined_consistency,0.5,0.9013452914798207,402,0.014925373134328358,0.9427860696517413,0.9888059701492538,0.9527363184079602
combined_consistency,0.6,0.8475336322869955,378,0.007936507936507936,0.9523809523809523,0.9920634920634921,0.9629629629629629
combined_consistency,0.7,0.7802690582959642,348,0.005747126436781609,0.9683908045977011,0.9954501915708811,0.9712643678160919
combined_consistency,0.8,0.7286995515695067,325,0.003076923076923077,0.9723076923076923,0.9971794871794871,0.9753846153846154
combined_consistency,0.85,0.6547085201793722,292,0.003424657534246575,0.9828767123287672,0.9977168949771689,0.9828767123287672
combined_consistency,0.9,0.5582959641255605,249,0.0,0.9879518072289156,1.0,0.9879518072289156
combined_consistency,0.95,0.3991031390134529,178,0.0,0.9943820224719101,1.0,0.9943820224719101
combined_consistency,1.0,0.3991031390134529,178,0.0,0.9943820224719101,1.0,0.9943820224719101
