test_source_id,val_source_id,train_source_ids,legacy_test_label,legacy_val_label,legacy_train_labels,model,seed,auroc,auprc,recall,fpr,precision,threshold,val_auc,epoch
BDMAP_00015594,BDMAP_00015590,"BDMAP_00015593;BDMAP_00015597",957,953,"956,960",seq_cnn_tokens,0,0.9671005917159763,0.9690184116378618,0.9461538461538461,0.14615384615384616,0.8661971830985915,0.06194886565208435,0.8668430335097002,8
BDMAP_00015594,BDMAP_00015590,"BDMAP_00015593;BDMAP_00015597",957,953,"956,960",seq_cnn_tokens,1,0.9726035502958581,0.9697833573955521,0.9538461538461539,0.11538461538461539,0.8920863309352518,0.45970505475997925,0.8804484756865709,7
BDMAP_00015594,BDMAP_00015590,"BDMAP_00015593;BDMAP_00015597",957,953,"956,960",seq_transformer_tokens,0,0.9674556213017752,0.9658624107569497,0.9076923076923077,0.08461538461538462,0.9147286821705426,0.8668403029441833,0.8810153691106072,12
BDMAP_00015594,BDMAP_00015590,"BDMAP_00015593;BDMAP_00015597",957,953,"956,960",seq_transformer_tokens,1,0.9523076923076923,0.9477680634379274,0.9769230769230769,0.3230769230769231,0.7514792899408284,0.1823258250951767,0.8665280927185689,17
BDMAP_00015590,BDMAP_00015593,"BDMAP_00015594;BDMAP_00015597",953,956,"957,960",seq_cnn_tokens,0,0.8614890400604687,0.8211308796926713,0.9285714285714286,0.3888888888888889,0.7048192771084337,0.5396997928619385,0.9284917091836735,11
BDMAP_00015590,BDMAP_00015593,"BDMAP_00015594;BDMAP_00015597",953,956,"957,960",seq_cnn_tokens,1,0.8674729150919627,0.8274282686498181,0.8809523809523809,0.2777777777777778,0.7602739726027398,0.6456465721130371,0.9340720663265307,9
BDMAP_00015590,BDMAP_00015593,"BDMAP_00015594;BDMAP_00015597",953,956,"957,960",seq_transformer_tokens,0,0.8620559334845048,0.8300498535007668,0.9126984126984127,0.40476190476190477,0.6927710843373494,0.27299341559410095,0.9668367346938777,14
BDMAP_00015590,BDMAP_00015593,"BDMAP_00015594;BDMAP_00015597",953,956,"957,960",seq_transformer_tokens,1,0.8650163769211388,0.8337760128000822,0.9047619047619048,0.3888888888888889,0.6993865030674846,0.2988927662372589,0.956313775510204,12
BDMAP_00015593,BDMAP_00015597,"BDMAP_00015594;BDMAP_00015590",956,960,"957,953",seq_cnn_tokens,0,0.9168526785714286,0.898635869643226,0.9464285714285714,0.23214285714285715,0.803030303030303,0.7360460758209229,0.963431952662722,14
BDMAP_00015593,BDMAP_00015597,"BDMAP_00015594;BDMAP_00015590",956,960,"957,953",seq_cnn_tokens,1,0.9281728316326531,0.9228525323470405,0.9375,0.25,0.7894736842105263,0.7745648622512817,0.9584023668639053,15
BDMAP_00015593,BDMAP_00015597,"BDMAP_00015594;BDMAP_00015590",956,960,"957,953",seq_transformer_tokens,0,0.9494579081632654,0.9338258487245786,0.9464285714285714,0.17857142857142858,0.8412698412698413,0.3890947699546814,0.9557396449704142,11
BDMAP_00015593,BDMAP_00015597,"BDMAP_00015594;BDMAP_00015590",956,960,"957,953",seq_transformer_tokens,1,0.9533641581632653,0.9381239174384686,0.9464285714285714,0.15178571428571427,0.8617886178861789,0.5553039908409119,0.9684023668639054,16
BDMAP_00015597,BDMAP_00015594,"BDMAP_00015590;BDMAP_00015593",960,957,"953,956",seq_cnn_tokens,0,0.9624260355029586,0.9602523119441457,0.9461538461538461,0.17692307692307693,0.8424657534246576,0.34803664684295654,0.9607100591715976,6
BDMAP_00015597,BDMAP_00015594,"BDMAP_00015590;BDMAP_00015593",960,957,"953,956",seq_cnn_tokens,1,0.9431952662721894,0.9402097985675086,0.9846153846153847,0.36923076923076925,0.7272727272727273,0.25254639983177185,0.92,8
BDMAP_00015597,BDMAP_00015594,"BDMAP_00015590;BDMAP_00015593",960,957,"953,956",seq_transformer_tokens,0,0.9263313609467456,0.9276610611602529,0.823076923076923,0.2153846153846154,0.7925925925925926,0.490249365568161,0.9468047337278107,8
BDMAP_00015597,BDMAP_00015594,"BDMAP_00015590;BDMAP_00015593",960,957,"953,956",seq_transformer_tokens,1,0.9594674556213019,0.9543095345582933,0.9538461538461539,0.2,0.8266666666666667,0.5245503187179565,0.9655621301775148,9
