eval,section,stratum,variant,metric,value,n
test45,strict_selective,none_incomplete_junction,relation_type_gate_0.70,false_accept,0.0,748
test45,strict_selective,none_incomplete_junction,relation_type_gate_0.70,exact_accept,1.0,748
test45,strict_selective,none_incomplete_junction,relation_type_gate_0.70,incomplete_accept,0.0,748
test45,strict_selective,none_incomplete_junction,relation_type_gate_0.70,exact_yield,0.9237967914438504,748
test45,strict_selective,none_incomplete_junction,relation_type_gate_0.70,false_yield,0.0,748
test45,strict_selective,none_orphan_pair,relation_type_gate_0.70,coverage,0.9625,160
test45,strict_selective,none_orphan_pair,relation_type_gate_0.70,false_accept,0.0129870129870129,160
test45,strict_selective,none_orphan_pair,relation_type_gate_0.70,exact_accept,0.987012987012987,160
test45,strict_selective,none_orphan_pair,relation_type_gate_0.70,incomplete_accept,0.0,160
test45,strict_selective,none_orphan_pair,relation_type_gate_0.70,exact_yield,0.95,160
test45,strict_selective,none_orphan_pair,relation_type_gate_0.70,false_yield,0.0125,160
