eval,relation,n,top1,top2,top3,top5,mrr,median_candidates,median_true_score
val30,junction,430,0.7837209302325582,0.913953488372093,0.9488372093023256,0.9837209302325581,0.8703516057585825,9.0,0.8900910945185678
val30,pair,232,0.7068965517241379,0.9568965517241379,0.978448275862069,1.0,0.8442528735632184,5.0,0.8405867671272562
test30,junction,896,0.7544642857142857,0.8850446428571429,0.9296875,0.9732142857142857,0.8475572821275945,9.0,0.8970723390448335
test30,pair,468,0.6901709401709402,0.9401709401709402,0.9914529914529915,0.9957264957264957,0.8338878713878713,5.0,0.8449730746075039
test45,junction,896,0.6584821428571429,0.8180803571428571,0.8850446428571429,0.9475446428571429,0.7815128201630303,9.0,0.8033044046704156
test45,pair,468,0.6495726495726496,0.8803418803418803,0.9529914529914529,0.9893162393162394,0.799455636955637,5.0,0.7596111455085837
