eval,method,n,exact,false_scene,incomplete,pair_auc,pair_auprc,junction_auc,junction_auprc,pair_candidate_recall,junction_candidate_recall
val_stress30_1mm,local,1028,0.5077821011673151,0.12159533073929961,,0.9077868852459016,0.19937773384873742,0.9482860989545158,0.5042756757808964,1.0,1.0
val_stress30_1mm,seq,1028,0.5311284046692607,0.0933852140077821,0.3754863813229572,0.9077868852459016,0.19937773384873742,0.9482860989545158,0.5042756757808964,1.0,1.0
val_stress30_1mm,joint,1028,0.5311284046692607,0.0933852140077821,0.3754863813229572,0.9077868852459016,0.19937773384873742,0.9482860989545158,0.5042756757808964,1.0,1.0
test_stress30_1mm,local,2124,0.5,0.14500941619585686,,0.9064067231429708,0.19161501555729707,0.9446281340735193,0.44408183980908844,1.0,1.0
test_stress30_1mm,seq,2124,0.5202448210922788,0.12335216572504708,0.3564030131826742,0.9064067231429708,0.19161501555729707,0.9446281340735193,0.44408183980908844,1.0,1.0
test_stress30_1mm,joint,2124,0.5202448210922788,0.12335216572504708,0.3564030131826742,0.9064067231429708,0.19161501555729707,0.9446281340735193,0.44408183980908844,1.0,1.0
test_stress45_1mm,local,2124,0.4656308851224105,0.10875706214689265,,0.8658267985379968,0.16345875847061322,0.9017750857133727,0.35773106948893546,1.0,1.0
test_stress45_1mm,seq,2124,0.4745762711864407,0.09887005649717515,0.4265536723163842,0.8658267985379968,0.16345875847061322,0.9017750857133727,0.35773106948893546,1.0,1.0
test_stress45_1mm,joint,2124,0.4745762711864407,0.09887005649717515,0.4265536723163842,0.8658267985379968,0.16345875847061322,0.9017750857133727,0.35773106948893546,1.0,1.0
