eval,scope,value,n,patients,canon_exact,veto_exact,d_exact,canon_false,veto_false,d_false,canon_incomplete,veto_incomplete,d_incomplete
test30,all,all,2124,160,0.5546139359698682,0.5386064030131826,-0.0160075329566855,0.1092278719397363,0.059322033898305,-0.0499058380414312,0.3361581920903955,0.4020715630885122,0.0659133709981167
test30,kind,junction_only,748,160,0.3155080213903743,0.2780748663101604,-0.0374331550802138,0.141711229946524,0.1002673796791443,-0.0414438502673796,0.5427807486631016,0.6216577540106952,0.0788770053475936
test30,kind,mixed,148,148,0.4256756756756756,0.3986486486486486,-0.027027027027027,0.1081081081081081,0.1013513513513513,-0.0067567567567567,0.4662162162162162,0.5,0.0337837837837837
test30,kind,none_incomplete_junction,748,160,0.9077540106951872,0.9572192513368984,0.0494652406417113,0.0922459893048128,0.0427807486631016,-0.0494652406417112,0.0,0.0,0.0
test30,kind,none_orphan_pair,160,160,0.95625,1.0,0.0437499999999999,0.04375,0.0,-0.04375,0.0,0.0,0.0
test30,kind,pair_only,320,160,0.146875,0.003125,-0.14375,0.10625,0.0125,-0.09375,0.746875,0.984375,0.2375
test30,junction_degree,0,1228,160,0.7157980456026058,0.7141693811074918,-0.001628664495114,0.0895765472312703,0.0293159609120521,-0.0602605863192182,0.1946254071661237,0.256514657980456,0.0618892508143322
test30,junction_degree,3,866,160,0.3452655889145496,0.3083140877598152,-0.0369515011547344,0.1281755196304849,0.0935334872979214,-0.0346420323325635,0.5265588914549654,0.5981524249422633,0.0715935334872979
test30,junction_degree,4,30,15,0.0,0.0,0.0,0.3666666666666666,0.3,-0.0666666666666666,0.6333333333333333,0.7,0.0666666666666666
test45,all,all,2124,160,0.513653483992467,0.4901129943502825,-0.0235404896421845,0.0805084745762711,0.0499058380414312,-0.0306026365348399,0.4058380414312618,0.4599811676082863,0.0541431261770244
test45,kind,junction_only,748,160,0.177807486631016,0.1470588235294117,-0.0307486631016042,0.1176470588235294,0.0855614973262032,-0.0320855614973262,0.7045454545454546,0.767379679144385,0.0628342245989304
test45,kind,mixed,148,148,0.3310810810810811,0.2972972972972973,-0.0337837837837837,0.1216216216216216,0.1148648648648648,-0.0067567567567567,0.5472972972972973,0.5878378378378378,0.0405405405405405
test45,kind,none_incomplete_junction,748,160,0.9491978609625668,0.9719251336898396,0.0227272727272727,0.0508021390374331,0.0280748663101604,-0.0227272727272727,0.0,0.0,0.0
test45,kind,none_orphan_pair,160,160,0.975,1.0,0.025,0.025,0.0,-0.025,0.0,0.0,0.0
test45,kind,pair_only,320,160,0.134375,0.0,-0.134375,0.071875,0.0125,-0.059375,0.79375,0.9875,0.1937500000000001
test45,junction_degree,0,1228,160,0.740228013029316,0.7223127035830619,-0.017915309446254,0.0529315960912052,0.020358306188925,-0.0325732899022801,0.2068403908794788,0.257328990228013,0.0504885993485342
test45,junction_degree,3,866,160,0.2101616628175519,0.1778290993071593,-0.0323325635103926,0.1120092378752886,0.0831408775981524,-0.0288683602771362,0.6778290993071594,0.7390300230946882,0.0612009237875288
test45,junction_degree,4,30,15,0.0,0.0,0.0,0.3,0.3,0.0,0.7,0.7,0.0
