eval,variant,pair_veto_threshold,junction_veto_threshold,consistency,n,coverage,n_accept,false_accept,exact_accept,incomplete_accept,exact_yield,false_yield,repair_coverage,repair_exact_yield,repair_false_yield,no_repair_coverage,no_repair_exact_yield,no_repair_false_yield,changed
val30,canonical,0.0,0.0,0.6,1028,0.7636186770428015,785,0.008917197452229299,0.5617834394904458,0.42929936305732486,0.428988326848249,0.006809338521400778,0.6440677966101694,0.06779661016949153,0.005084745762711864,0.9246575342465754,0.9155251141552512,0.0091324200913242,0.0
val30,mask_veto_hybrid,0.97,0.96,0.0,1028,1.0,1028,0.008754863813229572,0.4688715953307393,0.5223735408560312,0.4688715953307393,0.008754863813229572,1.0,0.07457627118644068,0.015254237288135594,1.0,1.0,0.0,0.19455252918287938
val45,canonical,0.0,0.0,0.6,1028,0.8297665369649806,853,0.008206330597889801,0.5052754982415005,0.48651817116060964,0.41926070038910507,0.006809338521400778,0.7457627118644068,0.03389830508474576,0.00847457627118644,0.9429223744292238,0.9383561643835616,0.0045662100456621,0.0
val45,mask_veto_hybrid,0.97,0.96,0.0,1028,1.0,1028,0.006809338521400778,0.45233463035019456,0.5408560311284046,0.45233463035019456,0.006809338521400778,1.0,0.04576271186440678,0.011864406779661017,1.0,1.0,0.0,0.14396887159533073
test30,canonical,0.0,0.0,0.6,2124,0.7434086629001884,1579,0.008233058898036731,0.5788473717542748,0.4129195693476884,0.4303201506591337,0.006120527306967985,0.6167763157894737,0.07236842105263158,0.008223684210526315,0.9129955947136564,0.9096916299559471,0.003303964757709251,0.0
test30,mask_veto_hybrid,0.97,0.96,0.0,2124,1.0,2124,0.00847457627118644,0.4670433145009416,0.524482109227872,0.4670433145009416,0.00847457627118644,1.0,0.06990131578947369,0.013980263157894737,1.0,0.998898678414097,0.0011013215859030838,0.2245762711864407
test45,canonical,0.0,0.0,0.6,2124,0.818738229755179,1739,0.008625646923519264,0.5192639447958597,0.47211040828062106,0.4251412429378531,0.007062146892655367,0.7212171052631579,0.03782894736842105,0.008223684210526315,0.9493392070484582,0.9438325991189427,0.005506607929515419,0.0
test45,mask_veto_hybrid,0.97,0.96,0.0,2124,1.0,2124,0.00847457627118644,0.4519774011299435,0.53954802259887,0.4519774011299435,0.00847457627118644,1.0,0.04358552631578947,0.013980263157894737,1.0,0.998898678414097,0.0011013215859030838,0.153954802259887
