budget,variant,eval,pair_veto_threshold,junction_veto_threshold,n,exact,false_scene,incomplete,changed
0.01,geometry,val30,0.96,0.96,1028,0.4357976653696498,0.008754863813229572,0.5554474708171206,0.23249027237354086
0.01,geometry,val45,0.96,0.96,1028,0.4377431906614786,0.005836575875486381,0.556420233463035,0.16342412451361868
0.01,geometry,test30,0.96,0.96,2124,0.4402071563088512,0.008945386064030132,0.5508474576271186,0.256120527306968
0.01,geometry,test45,0.96,0.96,2124,0.435969868173258,0.006120527306967985,0.557909604519774,0.1746704331450094
0.01,geometry_plus_mask,val30,0.97,0.96,1028,0.4688715953307393,0.008754863813229572,0.5223735408560312,0.19455252918287938
0.01,geometry_plus_mask,val45,0.97,0.96,1028,0.45233463035019456,0.006809338521400778,0.5408560311284046,0.14396887159533073
0.01,geometry_plus_mask,test30,0.97,0.96,2124,0.4670433145009416,0.00847457627118644,0.524482109227872,0.2245762711864407
0.01,geometry_plus_mask,test45,0.97,0.96,2124,0.4519774011299435,0.00847457627118644,0.53954802259887,0.153954802259887
0.025,geometry,val30,0.9250000000000005,0.9500000000000006,1028,0.45038910505836577,0.020428015564202335,0.5291828793774319,0.20914396887159534
0.025,geometry,val45,0.9250000000000005,0.9500000000000006,1028,0.44357976653696496,0.016536964980544747,0.5398832684824902,0.14785992217898833
0.025,geometry,test30,0.9250000000000005,0.9500000000000006,2124,0.455743879472693,0.02071563088512241,0.5235404896421846,0.2274011299435028
0.025,geometry,test45,0.9250000000000005,0.9500000000000006,2124,0.4397363465160075,0.01647834274952919,0.5437853107344632,0.16101694915254236
0.025,geometry_plus_mask,val30,0.9000000000000006,0.9500000000000006,1028,0.48346303501945526,0.02237354085603113,0.49416342412451364,0.16245136186770429
0.025,geometry_plus_mask,val45,0.9000000000000006,0.9500000000000006,1028,0.46303501945525294,0.021400778210116732,0.5155642023346303,0.11381322957198443
0.025,geometry_plus_mask,test30,0.9000000000000006,0.9500000000000006,2124,0.4891713747645951,0.023540489642184557,0.4872881355932203,0.1864406779661017
0.025,geometry_plus_mask,test45,0.9000000000000006,0.9500000000000006,2124,0.4698681732580038,0.018361581920903956,0.5117702448210922,0.12570621468926554
0.05,geometry,val30,0.9250000000000005,0.8750000000000004,1028,0.5116731517509727,0.048638132295719845,0.4396887159533074,0.11089494163424124
0.05,geometry,val45,0.9250000000000005,0.8750000000000004,1028,0.4805447470817121,0.04085603112840467,0.4785992217898833,0.08073929961089495
0.05,geometry,test30,0.9250000000000005,0.8750000000000004,2124,0.5155367231638418,0.06779661016949153,0.4166666666666667,0.11064030131826742
0.05,geometry,test45,0.9250000000000005,0.8750000000000004,2124,0.4764595103578154,0.0532015065913371,0.4703389830508475,0.07862523540489642
0.05,geometry_plus_mask,val30,0.98,0.8500000000000005,1028,0.5272373540856031,0.04961089494163424,0.42315175097276264,0.08852140077821012
0.05,geometry_plus_mask,val45,0.98,0.8500000000000005,1028,0.4990272373540856,0.0311284046692607,0.4698443579766537,0.06906614785992218
0.05,geometry_plus_mask,test30,0.98,0.8500000000000005,2124,0.5386064030131826,0.059322033898305086,0.4020715630885122,0.09274952919020715
0.05,geometry_plus_mask,test45,0.98,0.8500000000000005,2124,0.4901129943502825,0.04990583804143126,0.4599811676082863,0.06779661016949153
0.075,geometry,val30,0.8500000000000005,0.8500000000000005,1028,0.5311284046692607,0.07295719844357977,0.3959143968871595,0.05544747081712062
0.075,geometry,val45,0.8500000000000005,0.8500000000000005,1028,0.4990272373540856,0.054474708171206226,0.4464980544747082,0.037937743190661476
0.075,geometry,test30,0.8500000000000005,0.8500000000000005,2124,0.5357815442561206,0.08662900188323917,0.3775894538606403,0.06308851224105462
0.075,geometry,test45,0.8500000000000005,0.8500000000000005,2124,0.4924670433145009,0.06732580037664783,0.4402071563088512,0.04519774011299435
0.075,geometry_plus_mask,val30,0.8250000000000004,0.7000000000000004,1028,0.556420233463035,0.07392996108949416,0.36964980544747084,0.023346303501945526
0.075,geometry_plus_mask,val45,0.8250000000000004,0.7000000000000004,1028,0.5126459143968871,0.05642023346303502,0.43093385214007784,0.016536964980544747
0.075,geometry_plus_mask,test30,0.8250000000000004,0.7000000000000004,2124,0.5588512241054614,0.09274952919020715,0.3483992467043315,0.027777777777777776
0.075,geometry_plus_mask,test45,0.8250000000000004,0.7000000000000004,2124,0.513653483992467,0.07109227871939737,0.4152542372881356,0.0160075329566855
