budget,variant,pair_thr,junction_thr,eval,exact,false_scene,incomplete,n
0.05,geometry,0.97,0.8750000000000003,val30,0.52431906614786,0.04961089494163424,0.4260700389105058,1028
0.05,geometry,0.97,0.8750000000000003,val45,0.48249027237354086,0.04669260700389105,0.4708171206225681,1028
0.05,geometry,0.97,0.8750000000000003,test30,0.5145951035781544,0.07674199623352165,0.4086629001883239,2124
0.05,geometry,0.97,0.8750000000000003,test45,0.4745762711864407,0.06450094161958568,0.4609227871939736,2124
0.05,geometry_plus_mask,0.96,0.9000000000000004,val30,0.5573929961089494,0.04961089494163424,0.39299610894941633,1028
0.05,geometry_plus_mask,0.96,0.9000000000000004,val45,0.5272373540856031,0.04474708171206226,0.4280155642023346,1028
0.05,geometry_plus_mask,0.96,0.9000000000000004,test30,0.5649717514124294,0.06497175141242938,0.3700564971751412,2124
0.05,geometry_plus_mask,0.96,0.9000000000000004,test45,0.5160075329566854,0.059792843691148775,0.4241996233521657,2124
0.075,geometry,0.9500000000000004,0.8500000000000003,val30,0.5398832684824902,0.07101167315175097,0.38910505836575876,1028
0.075,geometry,0.9500000000000004,0.8500000000000003,val45,0.5,0.061284046692607,0.438715953307393,1028
0.075,geometry,0.9500000000000004,0.8500000000000003,test30,0.5362523540489642,0.09745762711864407,0.3662900188323917,2124
0.075,geometry,0.9500000000000004,0.8500000000000003,test45,0.4882297551789077,0.07721280602636535,0.4345574387947269,2124
0.075,geometry_plus_mask,0.9250000000000004,0.8750000000000003,val30,0.5865758754863813,0.06614785992217899,0.3472762645914397,1028
0.075,geometry_plus_mask,0.9250000000000004,0.8750000000000003,val45,0.546692607003891,0.061284046692607,0.39202334630350194,1028
0.075,geometry_plus_mask,0.9250000000000004,0.8750000000000003,test30,0.5875706214689266,0.08757062146892655,0.3248587570621469,2124
0.075,geometry_plus_mask,0.9250000000000004,0.8750000000000003,test45,0.536723163841808,0.07768361581920905,0.3855932203389831,2124
0.1,geometry,0.96,0.7500000000000002,val30,0.5710116731517509,0.09727626459143969,0.3317120622568093,1028
0.1,geometry,0.96,0.7500000000000002,val45,0.5136186770428015,0.09727626459143969,0.38910505836575876,1028
0.1,geometry,0.96,0.7500000000000002,test30,0.562617702448211,0.14124293785310735,0.2961393596986817,2124
0.1,geometry,0.96,0.7500000000000002,test45,0.507532956685499,0.1167608286252354,0.3757062146892655,2124
0.1,geometry_plus_mask,0.9500000000000004,0.7750000000000002,val30,0.6342412451361867,0.0963035019455253,0.2694552529182879,1028
0.1,geometry_plus_mask,0.9500000000000004,0.7750000000000002,val45,0.5739299610894941,0.09727626459143969,0.32879377431906615,1028
0.1,geometry_plus_mask,0.9500000000000004,0.7750000000000002,test30,0.6162900188323918,0.12335216572504708,0.2603578154425612,2124
0.1,geometry_plus_mask,0.9500000000000004,0.7750000000000002,test45,0.557909604519774,0.1120527306967985,0.3300376647834275,2124
