eval,system,metric,estimate,ci_low,ci_high,n_scenes,n_patients
test30,base_joint,joint_exact,0.5202448210922788,0.505416735474218,0.5349276430616983,2124,160
test30,base_joint,joint_false_scene,0.12335216572504708,0.10920232294262129,0.13836578869999824,2124,160
test30,base_joint,joint_incomplete,0.3564030131826742,0.3418529238494767,0.3703896323576158,2124,160
test30,relation_type_head,exact,0.5546139359698682,0.5388617526911524,0.5696321906709239,2124,160
test30,relation_type_head,false_scene,0.10922787193973635,0.0951717571208245,0.12314547118203861,2124,160
test30,relation_type_head,incomplete,0.3361581920903955,0.31894563091308764,0.353802924626307,2124,160
test30,relation_type_minus_base,exact,0.034369114877589424,0.017565970038036206,0.05174176221428447,2124,160
test30,relation_type_minus_base,false_scene,-0.01412429378531073,-0.027923300440313346,-0.0004798292050137633,2124,160
test30,relation_type_minus_base,incomplete,-0.02024482109227871,-0.03818998358730752,-0.0023505634144615796,2124,160
test30,base_joint_selective_gate085,coverage,0.57015065913371,0.5516765866843787,0.5884877822394956,2124,160
test30,base_joint_selective_gate085,baseline_false,0.00495458298926507,0.001607717041800643,0.009076282628262822,2124,160
test30,base_joint_selective_gate085,baseline_exact,0.6118909991742362,0.5962014863748968,0.6283418518205627,2124,160
test30,base_joint_selective_gate085,baseline_incomplete,0.3831544178364988,0.3666391237254325,0.39900682641177043,2124,160
test45,base_joint,joint_exact,0.4745762711864407,0.4610635539983366,0.4885258652980227,2124,160
test45,base_joint,joint_false_scene,0.09887005649717515,0.08570063821370336,0.11245192325016169,2124,160
test45,base_joint,joint_incomplete,0.4265536723163842,0.41323413449084395,0.4395871809883705,2124,160
test45,relation_type_head,exact,0.513653483992467,0.5016625896924941,0.525586008417932,2124,160
test45,relation_type_head,false_scene,0.08050847457627118,0.0696469966661016,0.09201307800093414,2124,160
test45,relation_type_head,incomplete,0.4058380414312618,0.3917956032891425,0.41994272414444905,2124,160
test45,relation_type_minus_base,exact,0.03907721280602633,0.02433314944435911,0.05453819314693241,2124,160
test45,relation_type_minus_base,false_scene,-0.018361581920903966,-0.030957211202801843,-0.006004342099519051,2124,160
test45,relation_type_minus_base,incomplete,-0.020715630885122405,-0.03576472271311958,-0.006137865911237016,2124,160
test45,base_joint_selective_gate085,coverage,0.6699623352165726,0.6511611613786212,0.688976027096968,2124,160
test45,base_joint_selective_gate085,baseline_false,0.004919184820801124,0.0013985769646147005,0.009309107276504093,2124,160
test45,base_joint_selective_gate085,baseline_exact,0.5390021082220661,0.5253665389469063,0.5531619179986101,2124,160
test45,base_joint_selective_gate085,baseline_incomplete,0.4560787069571328,0.44091223220456116,0.4707138054321754,2124,160
