eval,n,exact,false_scene,incomplete,pair_presence_auc,pair_presence_auprc,junction_presence_auc,junction_presence_auprc
val30,1028,0.5068093385214008,0.10311284046692606,0.39007782101167315,0.8284932204124069,0.5699612715620644,0.874113323481372,0.8035066864127492
test30,2124,0.5,0.12382297551789077,0.3761770244821092,0.8238114961393947,0.613183581727508,0.8769740286179618,0.7907920616421313
test45,2124,0.4684557438794727,0.09745762711864407,0.4340866290018832,0.7824132137990832,0.5648957843705147,0.8345801281119125,0.747440390651763
