case,segment,n_positive_gaps,fraction_with_hard_decoy,mean_hard_decoys,median_hard_decoys,max_hard_decoys
953,D1,200,0.03,0.14,0.0,10
953,IM,67,0.3283582089552239,0.8805970149253731,0.0,14
953,LAD,247,0.06477732793522267,0.3805668016194332,0.0,9
953,LCX,157,0.09554140127388536,0.3885350318471338,0.0,19
953,LM,9,1.0,22.333333333333332,24.0,26
953,OM1,21,0.8571428571428571,3.6666666666666665,3.0,7
953,OM2,99,0.06060606060606061,0.06060606060606061,0.0,1
953,Other,79,0.05063291139240506,0.20253164556962025,0.0,7
953,R-PDA,89,0.3258426966292135,1.5168539325842696,0.0,9
953,R-PLA,107,0.18691588785046728,1.0841121495327102,0.0,10
953,RCA,134,0.05223880597014925,0.373134328358209,0.0,20
