train,test,angle,jitter,threshold,coverage,n_accept,false_rate_accept,exact_rate_accept,branch_recall_accept,simple_gap_recall_accept
921,953,30,1.0,0.5,0.9305555555555556,201,0.0,0.9601990049751243,1.0,0.9601990049751243
921,953,30,1.0,0.6,0.9212962962962963,199,0.0,0.964824120603015,1.0,0.964824120603015
921,953,30,1.0,0.7,0.8287037037037037,179,0.0,0.9776536312849162,1.0,0.9776536312849162
921,953,30,1.0,0.8,0.7777777777777778,168,0.0,0.9821428571428571,1.0,0.9821428571428571
921,953,30,1.0,0.85,0.7129629629629629,154,0.0,0.987012987012987,1.0,0.987012987012987
921,953,30,1.0,0.9,0.6342592592592593,137,0.0,0.9927007299270073,1.0,0.9927007299270073
921,953,30,1.0,0.95,0.4305555555555556,93,0.0,1.0,1.0,1.0
921,953,30,1.0,1.0,0.4305555555555556,93,0.0,1.0,1.0,1.0
953,921,30,1.0,0.5,0.912751677852349,136,0.007352941176470588,0.9191176470588235,0.9859068627450979,0.9558823529411765
953,921,30,1.0,0.6,0.8859060402684564,132,0.0,0.9318181818181818,0.990530303030303,0.9696969696969697
953,921,30,1.0,0.7,0.7651006711409396,114,0.0,0.9649122807017544,0.993421052631579,0.9912280701754386
953,921,30,1.0,0.8,0.6845637583892618,102,0.0,0.9803921568627451,0.9950980392156863,1.0
953,921,30,1.0,0.85,0.5973154362416108,89,0.0,0.9887640449438202,0.9971910112359551,1.0
953,921,30,1.0,0.9,0.44966442953020136,67,0.0,0.9850746268656716,0.996268656716418,1.0
953,921,30,1.0,0.95,0.33557046979865773,50,0.0,1.0,1.0,1.0
953,921,30,1.0,1.0,0.33557046979865773,50,0.0,1.0,1.0,1.0
