eval,pair_threshold,junction_threshold,method,n,exact,false_scene,incomplete,pair_auc,pair_auprc,junction_auc,junction_auprc
test30_high_recall,0.8,0.8,ind,480,0.28125,0.4,0.31875,0.8811770521970761,0.6401302659004067,0.921985662047729,0.45362002809241314
test30_high_recall,0.8,0.8,greedy,480,0.31666666666666665,0.31666666666666665,0.36666666666666664,0.8811770521970761,0.6401302659004067,0.921985662047729,0.45362002809241314
test30_high_recall,0.8,0.8,global,480,0.33125,0.27708333333333335,0.39166666666666666,0.8811770521970761,0.6401302659004067,0.921985662047729,0.45362002809241314
test30_high_recall,0.8,0.8,global_minus_greedy,480,0.014583333333333337,-0.039583333333333304,0.025000000000000022,,,,
test45_high_recall,0.8,0.8,ind,480,0.26458333333333334,0.3541666666666667,0.38125,0.8358261402224526,0.5917474482585883,0.8550062548113934,0.3186763865585034
test45_high_recall,0.8,0.8,greedy,480,0.27291666666666664,0.2916666666666667,0.4354166666666667,0.8358261402224526,0.5917474482585883,0.8550062548113934,0.3186763865585034
test45_high_recall,0.8,0.8,global,480,0.275,0.2604166666666667,0.46458333333333335,0.8358261402224526,0.5917474482585883,0.8550062548113934,0.3186763865585034
test45_high_recall,0.8,0.8,global_minus_greedy,480,0.0020833333333333814,-0.03125,0.029166666666666674,,,,
