eval,metric,delta,ci_low,ci_high,n_patients
test30,exact,-0.016007532956685555,-0.026636853786024844,-0.005644402634054632,160
test30,false_scene,-0.04990583804143126,-0.059593903696948856,-0.04072820975354868,160
test30,incomplete,0.06591337099811673,0.05547523084972115,0.07656192857724728,160
test45,exact,-0.023540489642184526,-0.03203883495145626,-0.015320156531742589,160
test45,false_scene,-0.030602636534839918,-0.038389911401462806,-0.023088006757087783,160
test45,incomplete,0.05414312617702449,0.04497451186705544,0.06430894585088233,160
