eval,model,tau,n,relation_accuracy,relation_balanced_accuracy,relation_macro_f1,exact,false_scene,incomplete
val30,hgb,0.85,1028,0.5982490272373541,0.515376441289763,0.54153388752106,0.5496108949416343,0.08949416342412451,0.36089494163424124
test30,hgb,0.85,2124,0.6148775894538606,0.5208584975062285,0.5547109944170064,0.5546139359698682,0.10922787193973635,0.3361581920903955
test45,hgb,0.85,2124,0.564030131826742,0.4602419072401986,0.485146000461156,0.513653483992467,0.08050847457627118,0.4058380414312618
