train,test,branch_name,true_degree,n,exact_scene_rate,false_scene_rate,incomplete_rate,branch_recall,simple_gap_recall,consistency_mean,consistency_median,junction_error_median_mm,selected_degree_mean
921,953,D1,3,60,1.0,0.0,0.0,1.0,1.0,0.9011111111111111,0.9333333333333332,1.9794414470905055,3.0
921,953,LAD,3,30,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.9555555555555556,0.8666666666666667,0.82,0.9666666666666666,3.0032829732962902,3.0
921,953,LCX,3,66,0.8939393939393939,0.030303030303030304,0.07575757575757576,0.9848484848484849,0.8939393939393939,0.8363636363636363,0.9333333333333332,2.173503374572215,3.0
921,953,R-PLA,3,30,0.9666666666666667,0.0,0.03333333333333333,1.0,0.9666666666666667,0.8577777777777779,0.9333333333333332,2.1565460917217236,3.0
921,953,RCA,3,30,1.0,0.0,0.0,1.0,1.0,0.9044444444444444,0.9333333333333332,2.421408865420843,3.0
953,921,LAD,3,59,0.9661016949152542,0.0,0.03389830508474576,1.0,0.9661016949152542,0.896045197740113,0.9333333333333332,2.1858871924633023,3.0
953,921,LCX,3,60,0.9333333333333333,0.03333333333333333,0.03333333333333333,0.9777777777777777,0.9333333333333333,0.8622222222222222,0.9333333333333332,2.2771374352831018,3.0
953,921,LCX,4,30,0.6333333333333333,0.06666666666666667,0.3,0.8916666666666667,0.9,0.6622222222222223,0.6333333333333333,2.250496428534876,3.6666666666666665
