train,test,branch_index,branch_name,true_degree,n,false_joint_graph_lira,exact_joint_graph_lira,false_sequential_junction_then_pair,exact_sequential_junction_then_pair,false_local_independent_pairs,exact_local_independent_pairs,false_reduction_joint_vs_sequential,false_reduction_joint_vs_local,exact_gain_joint_vs_sequential
921,953,0,LAD,3,30,0.06666666666666667,0.8666666666666667,0.16666666666666666,0.7333333333333333,0.5333333333333333,0.0,0.09999999999999999,0.4666666666666666,0.13333333333333341
921,953,1,D1,3,30,0.0,1.0,0.03333333333333333,0.9666666666666667,0.5333333333333333,0.0,0.03333333333333333,0.5333333333333333,0.033333333333333326
921,953,2,LCX,3,30,0.03333333333333333,0.8333333333333334,0.1,0.7666666666666667,0.4,0.0,0.06666666666666668,0.3666666666666667,0.06666666666666665
921,953,4,LCX,3,6,0.0,0.8333333333333334,0.16666666666666666,0.6666666666666666,1.0,0.0,0.16666666666666666,1.0,0.16666666666666674
921,953,5,D1,3,30,0.0,1.0,0.06666666666666667,0.9333333333333333,0.5666666666666667,0.0,0.06666666666666667,0.5666666666666667,0.06666666666666665
921,953,7,LCX,3,30,0.03333333333333333,0.9666666666666667,0.06666666666666667,0.9333333333333333,0.5,0.0,0.03333333333333333,0.4666666666666667,0.033333333333333326
921,953,8,R-PLA,3,30,0.0,0.9666666666666667,0.03333333333333333,0.9333333333333333,0.5666666666666667,0.0,0.03333333333333333,0.5666666666666667,0.033333333333333326
921,953,9,RCA,3,30,0.0,1.0,0.13333333333333333,0.8666666666666667,0.5666666666666667,0.0,0.13333333333333333,0.5666666666666667,0.1333333333333333
953,921,1,LCX,4,30,0.06666666666666667,0.6333333333333333,0.06666666666666667,0.6,0.6666666666666666,0.0,0.0,0.6,0.033333333333333326
953,921,2,LCX,3,30,0.06666666666666667,0.9333333333333333,0.13333333333333333,0.8333333333333334,0.43333333333333335,0.0,0.06666666666666667,0.3666666666666667,0.09999999999999998
953,921,3,LAD,3,30,0.0,1.0,0.13333333333333333,0.8666666666666667,0.6,0.0,0.13333333333333333,0.6,0.1333333333333333
953,921,4,LAD,3,29,0.0,0.9310344827586207,0.06896551724137931,0.8620689655172413,0.5862068965517241,0.0,0.06896551724137931,0.5862068965517241,0.06896551724137934
953,921,6,LCX,3,30,0.0,0.9333333333333333,0.06666666666666667,0.8666666666666667,0.43333333333333335,0.0,0.06666666666666667,0.43333333333333335,0.06666666666666665
